file,source_dir,workload,run,qd_from_filename,job_name,rw,active_direction,bs,iodepth,numjobs,size,direct,runtime_sec,bandwidth_mib_s,iops,clat_mean_us,clat_p95_us,clat_p99_us,clat_p999_us,fio_version,timestamp,timestamp_ms
rand_read_qd16_run1.json,D:\ssd_lab\results\qd_sweep,rand_read,1,16,rand_read,randread,read,4k,16,,2G,1,30.001,194.91082000732422,49896.770108,242.769833126,403.456,505.856,684.032,fio-3.42,1778507850,1778507850615
rand_read_qd16_run2.json,D:\ssd_lab\results\qd_sweep,rand_read,2,16,rand_read,randread,read,4k,16,,2G,1,30.001,198.02360725402832,50693.510216,243.605442697,399.36,501.76,716.8,fio-3.42,1778507885,1778507885284
rand_read_qd16_run3.json,D:\ssd_lab\results\qd_sweep,rand_read,3,16,rand_read,randread,read,4k,16,,2G,1,30.001,218.8720006942749,56030.732309,232.153994012,391.168,509.952,733.184,fio-3.42,1778507919,1778507919953
rand_read_qd1_run1.json,D:\ssd_lab\results\qd_sweep,rand_read,1,1,rand_read,randread,read,4k,1,,2G,1,30.001,19.897643089294434,5093.763541,172.494706298,244.736,288.768,436.224,fio-3.42,1778507642,1778507642721
rand_read_qd1_run2.json,D:\ssd_lab\results\qd_sweep,rand_read,2,1,rand_read,randread,read,4k,1,,2G,1,30.001,21.314523696899414,5456.518116,160.356919555,234.496,268.288,382.976,fio-3.42,1778507677,1778507677370
rand_read_qd1_run3.json,D:\ssd_lab\results\qd_sweep,rand_read,3,1,rand_read,randread,read,4k,1,,2G,1,30.001,20.02420139312744,5126.195793,171.16650604400002,250.88,301.056,415.744,fio-3.42,1778507712,1778507712002
rand_read_qd32_run1.json,D:\ssd_lab\results\qd_sweep,rand_read,1,32,rand_read,randread,read,4k,32,,2G,1,30.001,203.04297065734863,51978.334056,392.916697638,659.456,806.912,1073.152,fio-3.42,1778507954,1778507954641
rand_read_qd32_run2.json,D:\ssd_lab\results\qd_sweep,rand_read,2,32,rand_read,randread,read,4k,32,,2G,1,30.001,218.93189430236816,56046.065131,377.085684857,634.88,790.528,1056.768,fio-3.42,1778507989,1778507989304
rand_read_qd32_run3.json,D:\ssd_lab\results\qd_sweep,rand_read,3,32,rand_read,randread,read,4k,32,,2G,1,30.001,207.90635013580322,53222.959235,389.365622943,659.456,815.104,1105.92,fio-3.42,1778508023,1778508023980
rand_read_qd4_run1.json,D:\ssd_lab\results\qd_sweep,rand_read,1,4,rand_read,randread,read,4k,4,,2G,1,30.001,82.30728244781494,21070.564315,164.24353168399998,254.976,313.344,411.648,fio-3.42,1778507746,1778507746648
rand_read_qd4_run2.json,D:\ssd_lab\results\qd_sweep,rand_read,2,4,rand_read,randread,read,4k,4,,2G,1,30.001,80.47426986694336,20601.31329,168.146833468,261.12,313.344,411.648,fio-3.42,1778507781,1778507781302
rand_read_qd4_run3.json,D:\ssd_lab\results\qd_sweep,rand_read,3,4,rand_read,randread,read,4k,4,,2G,1,30.001,79.57599258422852,20371.354288,171.12829537899998,264.192,317.44,407.552,fio-3.42,1778507815,1778507815953
